ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,PRODUCTLINE,MSRP,PRODUCTCODE,COUNTRY,DEALSIZE
10304,47,216.44,6,10172.7,11-10-2019,Classic Cars,214,S10_1949,France,Large
10312,48,242.16,3,11623.7,21-10-2019,Classic Cars,214,S10_1949,USA,Large
10322,40,150.01,1,6000.4,04-11-2019,Classic Cars,214,S10_1949,USA,Medium
10347,30,131.49,1,3944.7,29-11-2019,Classic Cars,214,S10_1949,Australia,Medium
10357,32,177.87,10,5691.84,10-12-2019,Classic Cars,214,S10_1949,USA,Medium
10369,41,110.12,2,4514.92,20-01-2020,Classic Cars,214,S10_1949,USA,Medium
10391,24,100.69,4,2416.56,09-03-2020,Classic Cars,214,S10_1949,Australia,Small
10411,23,180.01,9,4140.23,01-05-2020,Classic Cars,214,S10_1949,Canada,Medium
10424,50,240.02,6,12001,31-05-2020,Classic Cars,214,S10_1949,Spain,Large
10107,39,99.91,5,3896.49,24-02-2018,Motorcycles,118,S10_2016,USA,Medium
10120,29,96.34,3,2793.86,29-04-2018,Motorcycles,118,S10_2016,Australia,Small
10134,27,122.51,5,3307.77,01-07-2018,Motorcycles,118,S10_2016,France,Medium
10145,37,140.35,9,5192.95,25-08-2018,Motorcycles,118,S10_2016,USA,Medium
10168,27,135.59,4,3660.93,28-10-2018,Motorcycles,118,S10_2016,USA,Medium
10180,42,111.8,12,4695.6,11-11-2018,Motorcycles,118,S10_2016,France,Medium
10188,38,96.34,4,3660.92,18-11-2018,Motorcycles,118,S10_2016,Norway,Medium
10210,23,130.83,2,3009.09,12-01-2019,Motorcycles,118,S10_2016,Japan,Medium
10223,47,115.37,4,5422.39,20-02-2019,Motorcycles,118,S10_2016,Australia,Medium
10236,22,129.64,1,2852.08,03-04-2019,Motorcycles,118,S10_2016,USA,Small
10251,44,130.83,5,5756.52,18-05-2019,Motorcycles,118,S10_2016,USA,Medium
10263,40,111.8,5,4472,28-06-2019,Motorcycles,118,S10_2016,USA,Medium
10275,22,132.02,4,2904.44,23-07-2019,Motorcycles,118,S10_2016,France,Small
10285,47,137.97,9,6484.59,27-08-2019,Motorcycles,118,S10_2016,USA,Medium
10298,39,96.34,1,3757.26,27-09-2019,Motorcycles,118,S10_2016,France,Medium
10308,34,118.94,2,4043.96,15-10-2019,Motorcycles,118,S10_2016,USA,Medium
10318,45,123.7,4,5566.5,02-11-2019,Motorcycles,118,S10_2016,USA,Medium
10329,20,158.8,2,3176,15-11-2019,Motorcycles,118,S10_2016,USA,Medium
10339,40,68.92,4,2756.8,23-11-2019,Motorcycles,118,S10_2016,Japan,Small
10361,26,51.15,8,1329.9,17-12-2019,Motorcycles,118,S10_2016,Australia,Small
10374,39,135.59,5,5288.01,02-02-2020,Motorcycles,118,S10_2016,Australia,Medium
10388,50,44.51,5,2225.5,03-03-2020,Motorcycles,118,S10_2016,USA,Small
10402,45,129.64,1,5833.8,07-04-2020,Motorcycles,118,S10_2016,France,Medium
10417,45,130.83,5,5887.35,13-05-2020,Motorcycles,118,S10_2016,Spain,Medium
10107,27,224.65,4,6065.55,24-02-2018,Motorcycles,193,S10_4698,USA,Medium
10120,46,201.41,2,9264.86,29-04-2018,Motorcycles,193,S10_4698,Australia,Large
10134,31,226.58,4,7023.98,01-07-2018,Motorcycles,193,S10_4698,France,Large
10145,33,156.86,8,5176.38,25-08-2018,Motorcycles,193,S10_4698,USA,Medium
10168,20,209.15,3,4183,28-10-2018,Motorcycles,193,S10_4698,USA,Medium
10180,41,216.9,11,8892.9,11-11-2018,Motorcycles,193,S10_4698,France,Large
10188,45,193.66,3,8714.7,18-11-2018,Motorcycles,193,S10_4698,Norway,Large
10210,34,180.1,1,6123.4,12-01-2019,Motorcycles,193,S10_4698,Japan,Medium
10223,49,199.47,3,9774.03,20-02-2019,Motorcycles,193,S10_4698,Australia,Large
10237,39,180.1,9,7023.9,05-04-2019,Motorcycles,193,S10_4698,USA,Large
10251,43,164.61,4,7078.23,18-05-2019,Motorcycles,193,S10_4698,USA,Large
10263,41,203.34,4,8336.94,28-06-2019,Motorcycles,193,S10_4698,USA,Large
10275,36,191.72,3,6901.92,23-07-2019,Motorcycles,193,S10_4698,France,Medium
10285,27,201.41,8,5438.07,27-08-2019,Motorcycles,193,S10_4698,USA,Medium
10299,29,230.46,11,6683.34,30-09-2019,Motorcycles,193,S10_4698,Finland,Medium
10308,20,228.52,1,4570.4,15-10-2019,Motorcycles,193,S10_4698,USA,Medium
10318,37,207.22,3,7667.14,02-11-2019,Motorcycles,193,S10_4698,USA,Large
10329,26,225.7,3,5868.2,15-11-2019,Motorcycles,193,S10_4698,USA,Medium
10339,39,76.67,3,2990.13,23-11-2019,Motorcycles,193,S10_4698,Japan,Small
10362,22,166.55,4,3664.1,05-01-2020,Motorcycles,193,S10_4698,USA,Medium
10374,22,174.29,1,3834.38,02-02-2020,Motorcycles,193,S10_4698,Australia,Medium
10388,21,86.77,7,1822.17,03-03-2020,Motorcycles,193,S10_4698,USA,Small
10403,66,180.1,9,11886.6,08-04-2020,Motorcycles,193,S10_4698,UK,Large
10417,56,164.61,4,9218.16,13-05-2020,Motorcycles,193,S10_4698,Spain,Large
10105,50,144.16,2,7208,11-02-2018,Classic Cars,136,S10_4757,Denmark,Large
10119,46,108.8,11,5004.8,28-04-2018,Classic Cars,136,S10_4757,Austria,Medium
10129,33,133.28,2,4398.24,12-06-2018,Classic Cars,136,S10_4757,UK,Medium
10143,49,114.24,15,5597.76,10-08-2018,Classic Cars,136,S10_4757,USA,Medium
10155,32,141.44,13,4526.08,06-10-2018,Classic Cars,136,S10_4757,Finland,Medium
10167,44,134.64,9,5924.16,23-10-2018,Classic Cars,136,S10_4757,Sweden,Medium
10178,24,145.52,12,3492.48,08-11-2018,Classic Cars,136,S10_4757,France,Medium
10186,26,148.24,9,3854.24,14-11-2018,Classic Cars,136,S10_4757,UK,Medium
10197,45,118.32,6,5324.4,26-11-2018,Classic Cars,136,S10_4757,Spain,Medium
10222,49,122.4,12,5997.6,19-02-2019,Classic Cars,136,S10_4757,USA,Medium
10248,20,145.52,3,2910.4,07-05-2019,Classic Cars,136,S10_4757,USA,Small
10261,27,125.12,1,3378.24,17-06-2019,Classic Cars,136,S10_4757,Canada,Medium
10273,30,116.96,4,3508.8,21-07-2019,Classic Cars,136,S10_4757,Belgium,Medium
10283,25,119.68,6,2992,20-08-2019,Classic Cars,136,S10_4757,Canada,Small
10295,24,142.8,1,3427.2,10-09-2019,Classic Cars,136,S10_4757,USA,Medium
10307,22,122.4,9,2692.8,14-10-2019,Classic Cars,136,S10_4757,USA,Small
10316,33,125.12,17,4128.96,01-11-2019,Classic Cars,136,S10_4757,UK,Medium
10325,47,64.93,6,3051.71,05-11-2019,Classic Cars,136,S10_4757,Norway,Medium
10337,25,48.05,8,1201.25,21-11-2019,Classic Cars,136,S10_4757,USA,Small
10350,26,75.47,5,1962.22,02-12-2019,Classic Cars,136,S10_4757,Spain,Small
10359,48,54.68,6,2624.64,15-12-2019,Classic Cars,136,S10_4757,France,Small
10373,39,103.75,3,4046.25,31-01-2020,Classic Cars,136,S10_4757,Finland,Medium
10395,32,105.33,2,3370.56,17-03-2020,Classic Cars,136,S10_4757,France,Medium
10400,64,150.96,9,9661.44,01-04-2020,Classic Cars,136,S10_4757,USA,Large
10414,19,145.52,3,2764.88,06-05-2020,Classic Cars,136,S10_4757,USA,Small
10103,42,128.53,4,5398.26,29-01-2018,Classic Cars,147,S10_4962,Norway,Medium
10114,31,138.88,8,4305.28,01-04-2018,Classic Cars,147,S10_4962,France,Medium
10126,22,152.17,4,3347.74,28-05-2018,Classic Cars,147,S10_4962,Spain,Medium
10140,26,122.62,4,3188.12,24-07-2018,Classic Cars,147,S10_4962,USA,Medium
10150,20,159.56,1,3191.2,19-09-2018,Classic Cars,147,S10_4962,Singapore,Medium
10164,21,168.42,2,3536.82,21-10-2018,Classic Cars,147,S10_4962,Austria,Medium
10175,33,162.51,9,5362.83,06-11-2018,Classic Cars,147,S10_4962,UK,Medium
10183,28,122.62,1,3433.36,13-11-2018,Classic Cars,147,S10_4962,USA,Medium
10194,26,163.99,4,4263.74,25-11-2018,Classic Cars,147,S10_4962,France,Medium
10207,31,131.49,15,4076.19,09-12-2018,Classic Cars,147,S10_4962,USA,Medium
10217,48,146.26,4,7020.48,04-02-2019,Classic Cars,147,S10_4962,Singapore,Large
10229,50,128.53,9,6426.5,11-03-2019,Classic Cars,147,S10_4962,USA,Medium
10245,28,163.99,2,4591.72,04-05-2019,Classic Cars,147,S10_4962,USA,Medium
10259,26,155.13,12,4033.38,15-06-2019,Classic Cars,147,S10_4962,Singapore,Medium
10270,32,134.44,2,4302.08,19-07-2019,Classic Cars,147,S10_4962,Australia,Medium
10281,44,159.56,9,7020.64,19-08-2019,Classic Cars,147,S10_4962,USA,Large
10291,30,128.53,4,3855.9,08-09-2019,Classic Cars,147,S10_4962,Sweden,Medium
10305,38,175.81,13,6680.78,13-10-2019,Classic Cars,147,S10_4962,USA,Medium
10313,40,166.95,7,6678,22-10-2019,Classic Cars,147,S10_4962,Canada,Medium
10322,46,61.99,8,2851.54,04-11-2019,Classic Cars,147,S10_4962,USA,Small
10334,26,122.62,2,3188.12,19-11-2019,Classic Cars,147,S10_4962,Sweden,Medium
10347,27,164,2,4428,29-11-2019,Classic Cars,147,S10_4962,Australia,Medium
10357,43,134.44,9,5780.92,10-12-2019,Classic Cars,147,S10_4962,USA,Medium
10370,35,65.63,4,2297.05,20-01-2020,Classic Cars,147,S10_4962,Australia,Small
10391,37,46.9,7,1735.3,09-03-2020,Classic Cars,147,S10_4962,Australia,Small
10411,27,163.99,2,4427.73,01-05-2020,Classic Cars,147,S10_4962,Canada,Medium
10425,38,155.13,12,5894.94,31-05-2020,Classic Cars,147,S10_4962,France,Medium
10108,33,159.55,6,5265.15,03-03-2018,Classic Cars,194,S12_1099,Philippines,Medium
10122,42,180.95,10,7599.9,08-05-2018,Classic Cars,194,S12_1099,France,Large
10135,42,190.68,7,8008.56,02-07-2018,Classic Cars,194,S12_1099,USA,Large
10147,48,192.62,7,9245.76,05-09-2018,Classic Cars,194,S12_1099,USA,Large
10169,30,167.33,2,5019.9,04-11-2018,Classic Cars,194,S12_1099,Australia,Medium
10181,27,200.41,14,5411.07,12-11-2018,Classic Cars,194,S12_1099,Norway,Medium
10191,21,182.9,3,3840.9,20-11-2018,Classic Cars,194,S12_1099,Germany,Medium
10203,20,196.52,8,3930.4,02-12-2018,Classic Cars,194,S12_1099,Spain,Medium
10211,41,182.9,2,7498.9,15-01-2019,Classic Cars,194,S12_1099,France,Large
10225,27,167.33,9,4517.91,22-02-2019,Classic Cars,194,S12_1099,Switzerland,Medium
10238,28,206.24,3,5774.72,09-04-2019,Classic Cars,194,S12_1099,Denmark,Medium
10253,24,163.44,13,3922.56,01-06-2019,Classic Cars,194,S12_1099,UK,Medium
10266,44,208.19,14,9160.36,06-07-2019,Classic Cars,194,S12_1099,Italy,Large
10276,50,192.62,3,9631,02-08-2019,Classic Cars,194,S12_1099,USA,Large
10287,21,163.44,12,3432.24,30-08-2019,Classic Cars,194,S12_1099,Switzerland,Medium
10300,33,167.33,5,5521.89,04-10-2018,Classic Cars,194,S12_1099,Germany,Medium
10310,33,210.14,10,6934.62,16-10-2019,Classic Cars,194,S12_1099,Germany,Medium
10320,31,221.81,3,6876.11,03-11-2019,Classic Cars,194,S12_1099,Sweden,Medium
10329,41,71.47,5,2930.27,15-11-2019,Classic Cars,194,S12_1099,USA,Small
10341,45,79.65,2,3584.25,24-11-2019,Classic Cars,194,S12_1099,Austria,Medium
10363,33,85.39,3,2817.87,06-01-2020,Classic Cars,194,S12_1099,Finland,Small
10375,45,76,7,3420,03-02-2020,Classic Cars,194,S12_1099,France,Medium
10389,26,99.04,4,2575.04,03-03-2020,Classic Cars,194,S12_1099,Sweden,Small
10419,12,163.44,13,1961.28,17-05-2020,Classic Cars,194,S12_1099,Austria,Small
10105,41,211.96,15,8690.36,11-02-2018,Classic Cars,207,S12_1108,Denmark,Large
10117,33,182.86,9,6034.38,16-04-2018,Classic Cars,207,S12_1108,Singapore,Medium
10127,46,245.2,2,11279.2,03-06-2018,Classic Cars,207,S12_1108,USA,Large
10142,33,243.13,12,8023.29,08-08-2018,Classic Cars,207,S12_1108,USA,Large
10153,20,245.2,11,4904,28-09-2018,Classic Cars,207,S12_1108,Spain,Medium
10165,44,195.33,3,8594.52,22-10-2018,Classic Cars,207,S12_1108,Singapore,Large
10176,33,226.5,2,7474.5,06-11-2018,Classic Cars,207,S12_1108,Italy,Large
10185,21,184.94,13,3883.74,14-11-2018,Classic Cars,207,S12_1108,USA,Medium
10196,47,189.1,5,8887.7,26-11-2018,Classic Cars,207,S12_1108,USA,Large
10208,46,187.02,13,8602.92,02-01-2019,Classic Cars,207,S12_1108,France,Large
10220,32,224.42,2,7181.44,12-02-2019,Classic Cars,207,S12_1108,Ireland,Large
10231,42,199.49,2,8378.58,19-03-2019,Classic Cars,207,S12_1108,Spain,Large
10247,44,241.05,2,10606.2,05-05-2019,Classic Cars,207,S12_1108,Finland,Large
10272,35,166.24,2,5818.4,20-07-2019,Classic Cars,207,S12_1108,USA,Medium
10282,41,172.47,5,7071.27,20-08-2019,Classic Cars,207,S12_1108,USA,Large
10293,46,182.86,8,8411.56,09-09-2019,Classic Cars,207,S12_1108,Italy,Large
10306,31,211.96,13,6570.76,14-10-2019,Classic Cars,207,S12_1108,UK,Medium
10314,38,209.88,5,7975.44,22-10-2019,Classic Cars,207,S12_1108,Denmark,Large
10325,42,64,8,2688,05-11-2019,Classic Cars,207,S12_1108,Norway,Small
10336,33,57.22,10,1888.26,20-11-2019,Classic Cars,207,S12_1108,France,Small
10348,48,52.36,8,2513.28,01-11-2019,Classic Cars,207,S12_1108,Spain,Small
10359,42,113.44,8,4764.48,15-12-2019,Classic Cars,207,S12_1108,France,Medium
10371,32,111.27,6,3560.64,23-01-2020,Classic Cars,207,S12_1108,USA,Medium
10382,34,112.46,10,3823.64,17-02-2020,Classic Cars,207,S12_1108,USA,Medium
10395,33,69.12,1,2280.96,17-03-2020,Classic Cars,207,S12_1108,France,Small
10413,36,241.05,2,8677.8,05-05-2020,Classic Cars,207,S12_1108,USA,Large
10103,27,125.74,8,3394.98,29-01-2018,Trucks and Buses,136,S12_1666,Norway,Medium
10113,21,162.64,2,3415.44,26-03-2018,Trucks and Buses,136,S12_1666,USA,Medium
10126,21,116.17,8,2439.57,28-05-2018,Trucks and Buses,136,S12_1666,Spain,Small
10140,38,127.1,8,4829.8,24-07-2018,Trucks and Buses,136,S12_1666,USA,Medium
10150,30,136.67,5,4100.1,19-09-2018,Trucks and Buses,136,S12_1666,Singapore,Medium
10164,49,133.94,6,6563.06,21-10-2018,Trucks and Buses,136,S12_1666,Austria,Medium
10174,43,158.54,1,6817.22,06-11-2018,Trucks and Buses,136,S12_1666,Australia,Medium
10183,41,150.34,5,6163.94,13-11-2018,Trucks and Buses,136,S12_1666,USA,Medium
10194,38,129.84,8,4933.92,25-11-2018,Trucks and Buses,136,S12_1666,France,Medium
10206,28,144.87,3,4056.36,05-12-2018,Trucks and Buses,136,S12_1666,Canada,Medium
10216,43,133.94,1,5759.42,02-02-2019,Trucks and Buses,136,S12_1666,France,Medium
10229,25,138.04,13,3451,11-03-2019,Trucks and Buses,136,S12_1666,USA,Medium
10245,38,155.8,6,5920.4,04-05-2019,Trucks and Buses,136,S12_1666,USA,Medium
10258,41,162.64,3,6668.24,15-06-2019,Trucks and Buses,136,S12_1666,Japan,Medium
10270,28,146.24,6,4094.72,19-07-2019,Trucks and Buses,136,S12_1666,Australia,Medium
10281,25,117.54,13,2938.5,19-08-2019,Trucks and Buses,136,S12_1666,USA,Small
10291,41,155.8,8,6387.8,08-09-2019,Trucks and Buses,136,S12_1666,Sweden,Medium
10304,39,164,3,6396,11-10-2019,Trucks and Buses,136,S12_1666,France,Medium
10313,21,127.1,11,2669.1,22-10-2019,Trucks and Buses,136,S12_1666,Canada,Small
10322,27,177.19,9,4784.13,04-11-2019,Trucks and Buses,136,S12_1666,USA,Medium
10347,29,123.67,3,3586.43,29-11-2019,Trucks and Buses,136,S12_1666,Australia,Medium
10357,49,121.64,8,5960.36,10-12-2019,Trucks and Buses,136,S12_1666,USA,Medium
10370,49,172.86,8,8470.14,20-01-2020,Trucks and Buses,136,S12_1666,Australia,Large
10391,39,63.2,9,2464.8,09-03-2020,Trucks and Buses,136,S12_1666,Australia,Small
10411,40,155.8,6,6232,01-05-2020,Trucks and Buses,136,S12_1666,Canada,Medium
10424,49,162.64,3,7969.36,31-05-2020,Trucks and Buses,136,S12_1666,Spain,Large
10107,21,144.6,1,3036.6,24-02-2018,Motorcycles,150,S12_2823,USA,Medium
10121,50,165.68,4,8284,07-05-2018,Motorcycles,150,S12_2823,France,Large
10134,20,135.56,1,2711.2,01-07-2018,Motorcycles,150,S12_2823,France,Small
10145,49,170.2,5,8339.8,25-08-2018,Motorcycles,150,S12_2823,USA,Large
10169,35,132.55,13,4639.25,04-11-2018,Motorcycles,150,S12_2823,Australia,Medium
10180,40,168.69,8,6747.6,11-11-2018,Motorcycles,150,S12_2823,France,Medium
10189,28,161.16,1,4512.48,18-11-2018,Motorcycles,150,S12_2823,USA,Medium
10211,36,132.55,13,4771.8,15-01-2019,Motorcycles,150,S12_2823,France,Medium
10224,43,141.58,6,6087.94,21-02-2019,Motorcycles,150,S12_2823,France,Medium
10237,32,131.04,6,4193.28,05-04-2019,Motorcycles,150,S12_2823,USA,Medium
10251,46,164.18,1,7552.28,18-05-2019,Motorcycles,150,S12_2823,USA,Large
10263,48,134.05,1,6434.4,28-06-2019,Motorcycles,150,S12_2823,USA,Medium
10276,43,120.5,14,5181.5,02-08-2019,Motorcycles,150,S12_2823,USA,Medium
10285,49,140.08,5,6863.92,27-08-2019,Motorcycles,150,S12_2823,USA,Medium
10299,24,173.21,8,4157.04,30-09-2019,Motorcycles,150,S12_2823,Finland,Medium
10309,26,179.24,4,4660.24,15-10-2019,Motorcycles,150,S12_2823,Norway,Medium
10319,30,137.06,9,4111.8,03-11-2019,Motorcycles,150,S12_2823,USA,Medium
10329,24,147.61,6,3542.64,15-11-2019,Motorcycles,150,S12_2823,USA,Medium
10341,55,147.61,8,8118.55,24-11-2019,Motorcycles,150,S12_2823,Austria,Large
10362,22,176.23,1,3877.06,05-01-2020,Motorcycles,150,S12_2823,USA,Medium
10375,49,78.92,13,3867.08,03-02-2020,Motorcycles,150,S12_2823,France,Medium
10388,44,135.26,6,5951.44,03-03-2020,Motorcycles,150,S12_2823,USA,Medium
10403,66,131.04,6,8648.64,08-04-2020,Motorcycles,150,S12_2823,UK,Large
10417,21,164.18,1,3447.78,13-05-2020,Motorcycles,150,S12_2823,Spain,Medium
10104,34,175.25,1,5958.5,31-01-2018,Classic Cars,151,S12_3148,Spain,Medium
10117,43,137.48,10,5911.64,16-04-2018,Classic Cars,151,S12_3148,Singapore,Medium
10127,46,160.14,3,7366.44,03-06-2018,Classic Cars,151,S12_3148,USA,Large
10142,33,151.08,13,4985.64,08-08-2018,Classic Cars,151,S12_3148,USA,Medium
10153,42,128.42,12,5393.64,28-09-2018,Classic Cars,151,S12_3148,Spain,Medium
10165,34,143.53,4,4880.02,22-10-2018,Classic Cars,151,S12_3148,Singapore,Medium
10176,47,178.27,3,8378.69,06-11-2018,Classic Cars,151,S12_3148,Italy,Large
10185,33,122.37,14,4038.21,14-11-2018,Classic Cars,151,S12_3148,USA,Medium
10196,24,158.63,6,3807.12,26-11-2018,Classic Cars,151,S12_3148,USA,Medium
10208,26,120.86,14,3142.36,02-01-2019,Classic Cars,151,S12_3148,France,Medium
10220,30,157.12,3,4713.6,12-02-2019,Classic Cars,151,S12_3148,Ireland,Medium
10230,43,163.17,1,7016.31,15-03-2019,Classic Cars,151,S12_3148,Germany,Large
10247,25,175.25,3,4381.25,05-05-2019,Classic Cars,151,S12_3148,Finland,Medium
10272,27,158.63,3,4283.01,20-07-2019,Classic Cars,151,S12_3148,USA,Medium
10282,27,161.66,6,4364.82,20-08-2019,Classic Cars,151,S12_3148,USA,Medium
10293,24,176.76,9,4242.24,09-09-2019,Classic Cars,151,S12_3148,Italy,Medium
10306,34,146.55,14,4982.7,14-10-2019,Classic Cars,151,S12_3148,UK,Medium
10314,46,138.99,6,6393.54,22-10-2019,Classic Cars,151,S12_3148,Denmark,Medium
10324,27,54.33,1,1466.91,05-11-2019,Classic Cars,151,S12_3148,USA,Small
10336,33,123.01,11,4059.33,20-11-2019,Classic Cars,151,S12_3148,France,Medium
10348,47,102.16,4,4801.52,01-11-2019,Classic Cars,151,S12_3148,Spain,Medium
10358,49,55.34,5,2711.66,10-12-2019,Classic Cars,151,S12_3148,Spain,Small
10372,40,146.55,4,5862,26-01-2020,Classic Cars,151,S12_3148,Japan,Medium
10382,37,110.05,11,4071.85,17-02-2020,Classic Cars,151,S12_3148,USA,Medium
10413,47,175.25,3,8236.75,05-05-2020,Classic Cars,151,S12_3148,USA,Large
10108,45,136.23,4,6130.35,03-03-2018,Classic Cars,117,S12_3380,Philippines,Medium
10122,37,99.82,8,3693.34,08-05-2018,Classic Cars,117,S12_3380,France,Medium
10135,48,125.66,5,6031.68,02-07-2018,Classic Cars,117,S12_3380,USA,Medium
10147,31,112.74,5,3494.94,05-09-2018,Classic Cars,117,S12_3380,USA,Medium
10170,47,116.27,4,5464.69,04-11-2018,Classic Cars,117,S12_3380,Austria,Medium
10181,28,102.17,12,2860.76,12-11-2018,Classic Cars,117,S12_3380,Norway,Small
10191,40,139.75,1,5590,20-11-2018,Classic Cars,117,S12_3380,Germany,Medium
10203,20,112.74,6,2254.8,02-12-2018,Classic Cars,117,S12_3380,Spain,Small
10212,39,126.84,16,4946.76,16-01-2019,Classic Cars,117,S12_3380,Spain,Medium
10225,25,99.82,7,2495.5,22-02-2019,Classic Cars,117,S12_3380,Switzerland,Small
10238,29,109.22,1,3167.38,09-04-2019,Classic Cars,117,S12_3380,Denmark,Medium
10253,22,109.22,11,2402.84,01-06-2019,Classic Cars,117,S12_3380,UK,Small
10266,22,111.57,12,2454.54,06-07-2019,Classic Cars,117,S12_3380,Italy,Small
10276,47,116.27,1,5464.69,02-08-2019,Classic Cars,117,S12_3380,USA,Medium
10287,45,105.7,10,4756.5,30-08-2019,Classic Cars,117,S12_3380,Switzerland,Medium
10300,29,137.4,3,3984.6,04-10-2018,Classic Cars,117,S12_3380,Germany,Medium
10310,24,129.18,8,3100.32,16-10-2019,Classic Cars,117,S12_3380,Germany,Medium
10320,35,138.58,1,4850.3,03-11-2019,Classic Cars,117,S12_3380,Sweden,Medium
10329,46,83.63,13,3846.98,15-11-2019,Classic Cars,117,S12_3380,USA,Medium
10341,44,95.93,1,4220.92,24-11-2019,Classic Cars,117,S12_3380,Austria,Medium
10363,34,96.73,4,3288.82,06-01-2020,Classic Cars,117,S12_3380,Finland,Medium
10376,35,113.92,1,3987.2,08-02-2020,Classic Cars,117,S12_3380,USA,Medium
10389,25,72.38,6,1809.5,03-03-2020,Classic Cars,117,S12_3380,Sweden,Small
10419,10,109.22,11,1092.2,17-05-2020,Classic Cars,117,S12_3380,Austria,Small
10105,29,157.45,14,4566.05,11-02-2018,Classic Cars,173,S12_3891,Denmark,Medium
10117,39,152.26,8,5938.14,16-04-2018,Classic Cars,173,S12_3891,Singapore,Medium
10127,42,193.78,1,8138.76,03-06-2018,Classic Cars,173,S12_3891,USA,Large
10142,46,205.89,11,9470.94,08-08-2018,Classic Cars,173,S12_3891,USA,Large
10153,49,143.61,10,7036.89,28-09-2018,Classic Cars,173,S12_3891,Spain,Large
10165,27,205.89,2,5559.03,22-10-2018,Classic Cars,173,S12_3891,Singapore,Medium
10176,50,157.45,1,7872.5,06-11-2018,Classic Cars,173,S12_3891,Italy,Large
